
Host: d-snes-l-dc-01

Timers On : Mon Sep 24 10:08:11 2018
Timers Off: Mon Sep 24 10:08:19 2018

Wall Time:        7.99 seconds

V: Grid                     :      0.267u      0.033s      0.170w      1 calls
JK: (A|mn)                  :      0.867u      0.000s      0.258w      1 calls
JK: (A|Q)^-1/2              :      0.250u      0.000s      0.075w      1 calls
JK: (Q|mn)                  :      0.083u      0.000s      0.027w      1 calls
JK: (A|mn)^L                :      0.367u      0.000s      0.110w      1 calls
JK: (A|Q)^-1                :      0.250u      0.000s      0.074w      1 calls
JK: (Q|mn)^L                :      0.067u      0.000s      0.023w      1 calls
JK: (A|mn)^R                :      0.417u      0.000s      0.123w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.017s      0.001w      1 calls
HF: Guess                   :      0.250u      0.000s      0.073w      1 calls
SAD Guess                   :      0.250u      0.000s      0.071w      1 calls
HF: Form G                  :     12.583u      0.217s      3.845w     11 calls
RV: Form V                  :     11.267u      0.117s      3.425w     11 calls
Properties                  :      4.018p                          17112 calls
Functional                  :      1.480p                          17112 calls
V_xc                        :      1.973p                          15686 calls
JK: D                       :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :      1.217u      0.100s      0.417w     11 calls
JK: J                       :      0.033u      0.033s      0.026w     11 calls
JK: J1                      :      0.017u      0.033s      0.019w     11 calls
JK: J2                      :      0.017u      0.000s      0.007w     11 calls
JK: K                       :      0.367u      0.000s      0.119w     11 calls
JK: K1                      :      0.367u      0.000s      0.105w     11 calls
JK: K2                      :      0.000u      0.000s      0.014w     11 calls
JK: wK                      :      0.750u      0.067s      0.255w     22 calls
JK: wK1                     :      0.733u      0.067s      0.240w     44 calls
JK: wK2                     :      0.017u      0.000s      0.015w     22 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.000u      0.000s      0.009w     11 calls
DIISManager::add_entry      :      0.000u      0.000s      0.002w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.004w      9 calls
bMatrix setup               :      0.000u      0.000s      0.002w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.001w      9 calls
New vector                  :      0.000u      0.000s      0.001w      9 calls
HF: Form C                  :      0.083u      0.017s      0.015w     11 calls
HF: Form D                  :      0.000u      0.000s      0.000w     11 calls
Grad: V T Perturb           :      0.233u      0.033s      0.076w      1 calls
Grad: S                     :      0.000u      0.000s      0.001w      1 calls
Grad: JK                    :      4.350u      0.117s      1.336w      1 calls
JKGrad: Amn                 :      0.583u      0.033s      0.187w      1 calls
JKGrad: Awmn                :      0.583u      0.033s      0.184w      1 calls
JKGrad: AB                  :      0.267u      0.000s      0.082w      1 calls
JKGrad: UV                  :      0.017u      0.017s      0.005w      1 calls
JKGrad: ABx                 :      0.117u      0.000s      0.035w      1 calls
JKGrad: Amnx                :      2.733u      0.033s      0.830w      1 calls
Grad: XC                    :      1.883u      0.000s      0.568w      1 calls
V_xc gradient               :      0.417p                           1426 calls

-----------------------------------------------------------
V: Grid                     :      0.267u      0.033s      0.170w      1 calls
JK: (A|mn)                  :      0.867u      0.000s      0.258w      1 calls
JK: (A|Q)^-1/2              :      0.250u      0.000s      0.075w      1 calls
JK: (Q|mn)                  :      0.083u      0.000s      0.027w      1 calls
JK: (A|mn)^L                :      0.367u      0.000s      0.110w      1 calls
JK: (A|Q)^-1                :      0.250u      0.000s      0.074w      1 calls
JK: (Q|mn)^L                :      0.067u      0.000s      0.023w      1 calls
JK: (A|mn)^R                :      0.417u      0.000s      0.123w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.017s      0.001w      1 calls
HF: Guess                   :      0.250u      0.000s      0.073w      1 calls
| SAD Guess                 :      0.250u      0.000s      0.071w      1 calls
HF: Form G                  :     12.583u      0.217s      3.845w     11 calls
| RV: Form V                :     11.267u      0.117s      3.425w     11 calls
| | Properties              :      3.462p                          15686 calls
| | Functional              :      1.354p                          15686 calls
| | V_xc                    :      1.973p                          15686 calls
| JK: D                     :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     11 calls
| JK: JK                    :      1.217u      0.100s      0.417w     11 calls
| | JK: J                   :      0.033u      0.033s      0.026w     11 calls
| | | JK: J1                :      0.017u      0.033s      0.019w     11 calls
| | | JK: J2                :      0.017u      0.000s      0.007w     11 calls
| | JK: K                   :      0.367u      0.000s      0.119w     11 calls
| | | JK: K1                :      0.367u      0.000s      0.105w     11 calls
| | | JK: K2                :      0.000u      0.000s      0.014w     11 calls
| | JK: wK                  :      0.750u      0.067s      0.255w     22 calls
| | | JK: wK1               :      0.733u      0.067s      0.240w     44 calls
| | | JK: wK2               :      0.017u      0.000s      0.015w     22 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.000u      0.000s      0.009w     11 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.002w     10 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.004w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.002w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.001w      9 calls
| | New vector              :      0.000u      0.000s      0.001w      9 calls
HF: Form C                  :      0.083u      0.017s      0.015w     11 calls
HF: Form D                  :      0.000u      0.000s      0.000w     11 calls
Grad: V T Perturb           :      0.233u      0.033s      0.076w      1 calls
Grad: S                     :      0.000u      0.000s      0.001w      1 calls
Grad: JK                    :      4.350u      0.117s      1.336w      1 calls
| JKGrad: Amn               :      0.583u      0.033s      0.187w      1 calls
| JKGrad: Awmn              :      0.583u      0.033s      0.184w      1 calls
| JKGrad: AB                :      0.267u      0.000s      0.082w      1 calls
| JKGrad: UV                :      0.017u      0.017s      0.005w      1 calls
| JKGrad: ABx               :      0.117u      0.000s      0.035w      1 calls
| JKGrad: Amnx              :      2.733u      0.033s      0.830w      1 calls
Grad: XC                    :      1.883u      0.000s      0.568w      1 calls
| Properties                :      0.556p                           1426 calls
| Functional                :      0.126p                           1426 calls
| V_xc gradient             :      0.417p                           1426 calls

***********************************************************

Host: d-snes-l-dc-01

Timers On : Mon Sep 24 10:08:19 2018
Timers Off: Mon Sep 24 10:08:27 2018

Wall Time:        7.89 seconds

V: Grid                     :      0.267u      0.017s      0.171w      1 calls
JK: (A|mn)                  :      0.750u      0.000s      0.224w      1 calls
JK: (A|Q)^-1/2              :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)                  :      0.083u      0.000s      0.027w      1 calls
JK: (A|mn)^L                :      0.317u      0.000s      0.097w      1 calls
JK: (A|Q)^-1                :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)^L                :      0.067u      0.000s      0.023w      1 calls
JK: (A|mn)^R                :      0.367u      0.000s      0.106w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      1 calls
HF: Guess                   :      0.250u      0.017s      0.075w      1 calls
SAD Guess                   :      0.233u      0.017s      0.073w      1 calls
HF: Form G                  :     12.700u      0.167s      3.862w     11 calls
RV: Form V                  :     11.333u      0.050s      3.444w     11 calls
Properties                  :      4.025p                          17100 calls
Functional                  :      1.487p                          17100 calls
V_xc                        :      1.988p                          15675 calls
JK: D                       :      0.017u      0.000s      0.001w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.001w     11 calls
JK: JK                      :      1.283u      0.100s      0.415w     11 calls
JK: J                       :      0.067u      0.050s      0.026w     11 calls
JK: J1                      :      0.067u      0.033s      0.019w     11 calls
JK: J2                      :      0.000u      0.017s      0.007w     11 calls
JK: K                       :      0.350u      0.000s      0.119w     11 calls
JK: K1                      :      0.300u      0.000s      0.105w     11 calls
JK: K2                      :      0.050u      0.000s      0.014w     11 calls
JK: wK                      :      0.783u      0.050s      0.254w     22 calls
JK: wK1                     :      0.700u      0.050s      0.238w     44 calls
JK: wK2                     :      0.083u      0.000s      0.016w     22 calls
JK: AO2USO                  :      0.017u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.017u      0.000s      0.009w     11 calls
DIISManager::add_entry      :      0.000u      0.000s      0.002w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.004w      9 calls
bMatrix setup               :      0.000u      0.000s      0.002w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.001w      9 calls
New vector                  :      0.000u      0.000s      0.001w      9 calls
HF: Form C                  :      0.033u      0.017s      0.015w     11 calls
HF: Form D                  :      0.000u      0.000s      0.000w     11 calls
Grad: V T Perturb           :      0.150u      0.050s      0.055w      1 calls
Grad: S                     :      0.000u      0.000s      0.001w      1 calls
Grad: JK                    :      4.217u      0.083s      1.289w      1 calls
JKGrad: Amn                 :      0.667u      0.017s      0.208w      1 calls
JKGrad: Awmn                :      0.550u      0.017s      0.170w      1 calls
JKGrad: AB                  :      0.233u      0.017s      0.077w      1 calls
JKGrad: UV                  :      0.017u      0.017s      0.005w      1 calls
JKGrad: ABx                 :      0.117u      0.000s      0.036w      1 calls
JKGrad: Amnx                :      2.567u      0.017s      0.779w      1 calls
Grad: XC                    :      1.850u      0.000s      0.560w      1 calls
V_xc gradient               :      0.410p                           1425 calls

-----------------------------------------------------------
V: Grid                     :      0.267u      0.017s      0.171w      1 calls
JK: (A|mn)                  :      0.750u      0.000s      0.224w      1 calls
JK: (A|Q)^-1/2              :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)                  :      0.083u      0.000s      0.027w      1 calls
JK: (A|mn)^L                :      0.317u      0.000s      0.097w      1 calls
JK: (A|Q)^-1                :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)^L                :      0.067u      0.000s      0.023w      1 calls
JK: (A|mn)^R                :      0.367u      0.000s      0.106w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      1 calls
HF: Guess                   :      0.250u      0.017s      0.075w      1 calls
| SAD Guess                 :      0.233u      0.017s      0.073w      1 calls
HF: Form G                  :     12.700u      0.167s      3.862w     11 calls
| RV: Form V                :     11.333u      0.050s      3.444w     11 calls
| | Properties              :      3.473p                          15675 calls
| | Functional              :      1.365p                          15675 calls
| | V_xc                    :      1.988p                          15675 calls
| JK: D                     :      0.017u      0.000s      0.001w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.001w     11 calls
| JK: JK                    :      1.283u      0.100s      0.415w     11 calls
| | JK: J                   :      0.067u      0.050s      0.026w     11 calls
| | | JK: J1                :      0.067u      0.033s      0.019w     11 calls
| | | JK: J2                :      0.000u      0.017s      0.007w     11 calls
| | JK: K                   :      0.350u      0.000s      0.119w     11 calls
| | | JK: K1                :      0.300u      0.000s      0.105w     11 calls
| | | JK: K2                :      0.050u      0.000s      0.014w     11 calls
| | JK: wK                  :      0.783u      0.050s      0.254w     22 calls
