
Host: d-snes-l-dc-01

Timers On : Fri Sep 21 17:36:52 2018
Timers Off: Fri Sep 21 17:36:56 2018

Wall Time:        3.22 seconds

V: Grid                     :      0.083u      0.033s      0.067w      1 calls
JK: (A|mn)                  :      0.183u      0.000s      0.053w      1 calls
JK: (A|Q)^-1/2              :      0.100u      0.000s      0.032w      1 calls
JK: (Q|mn)                  :      0.017u      0.000s      0.004w      1 calls
JK: (A|mn)^L                :      0.083u      0.000s      0.024w      1 calls
JK: (A|Q)^-1                :      0.100u      0.000s      0.031w      1 calls
JK: (Q|mn)^L                :      0.017u      0.000s      0.003w      1 calls
JK: (A|mn)^R                :      0.083u      0.000s      0.025w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      1 calls
HF: Guess                   :      0.250u      0.000s      0.073w      1 calls
SAD Guess                   :      0.250u      0.000s      0.071w      1 calls
HF: Form G                  :      4.200u      0.067s      1.284w     10 calls
RV: Form V                  :      3.983u      0.050s      1.227w     10 calls
Properties                  :      1.345p                          10109 calls
Functional                  :      0.834p                          10109 calls
V_xc                        :      0.515p                           9190 calls
JK: D                       :      0.017u      0.000s      0.000w     10 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     10 calls
JK: JK                      :      0.183u      0.017s      0.057w     10 calls
JK: J                       :      0.000u      0.000s      0.004w     10 calls
JK: J1                      :      0.000u      0.000s      0.003w     10 calls
JK: J2                      :      0.000u      0.000s      0.001w     10 calls
JK: K                       :      0.033u      0.017s      0.015w     10 calls
JK: K1                      :      0.033u      0.000s      0.013w     10 calls
JK: K2                      :      0.000u      0.000s      0.002w     10 calls
JK: wK                      :      0.117u      0.000s      0.036w     20 calls
JK: wK1                     :      0.100u      0.000s      0.033w     40 calls
JK: wK2                     :      0.000u      0.000s      0.002w     20 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     10 calls
HF: Form F                  :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     10 calls
DIISManager::add_entry      :      0.000u      0.000s      0.001w      9 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      8 calls
bMatrix setup               :      0.000u      0.000s      0.000w      8 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      8 calls
New vector                  :      0.000u      0.000s      0.000w      8 calls
HF: Form C                  :      0.017u      0.000s      0.005w     10 calls
