#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-36254.35417202042,288.37229489963704
2000,-36768.71401773422,290.78919306127125
3000,-36899.805730779946,304.9995793605031
4000,-36847.04233312022,290.4124973379899
5000,-37133.17887409686,288.61247971255733
6000,-37046.6513194055,298.7211023626124
7000,-36989.68057734912,288.1834245010911
8000,-36732.29235291481,291.7973970779637
9000,-36934.68070362808,303.6290093450976
10000,-36901.73657849035,300.7174994056171
11000,-37104.39893797881,301.8560982103883
12000,-36912.32435507816,301.9949562832085
13000,-36952.521333440905,298.19915079344145
14000,-36964.159360402264,301.1666948444129
15000,-36803.71142183276,287.6390554069735
16000,-36826.69242435004,290.18750697446586
17000,-37139.53067197546,296.8762570585526
18000,-37008.537705229624,292.9822028857235
19000,-37006.1089500986,289.6237452487904
20000,-37148.5281942515,300.88850481391785
21000,-37148.81610491141,300.64337512949277
22000,-37252.4896048785,302.4188431836303
23000,-37149.82597935217,285.36111507967155
24000,-37324.7301876001,292.60021705600815
25000,-37550.17252153286,297.86659675584247
26000,-37618.77624109585,304.67721182517795
27000,-37359.64260037133,309.51223435326614
28000,-37454.091129530396,310.26383431853725
29000,-37267.037180554646,293.3168188333705
30000,-37433.99837302885,290.75492979361144
31000,-37587.67172464027,307.6995147592349
32000,-37447.73563921786,288.5930710151726
33000,-37176.35807290938,285.2522696408403
34000,-37505.26696147304,302.53728832980147
35000,-37346.056791330106,303.32147002695103
36000,-37611.8638071531,303.81988936670206
37000,-37321.72871508726,298.7401526779332
38000,-37170.29120565063,293.7750367401574
39000,-37043.149615291564,301.72239668779764
40000,-37338.253572028014,306.2101793976301
41000,-37221.56075645896,299.89458724969296
42000,-36926.047372735076,288.5209275300146
43000,-37298.55405899245,316.0117295764915
44000,-36858.33128173277,294.6873815370695
45000,-36908.32754413015,305.0694562649501
46000,-37499.940152011986,299.87176833728483
47000,-37103.37885062676,317.7305230830542
48000,-37150.57161715499,296.27924391809773
49000,-36937.635953983176,289.2805037488949
50000,-37251.984859743534,306.3380265917013
51000,-37326.26311460743,298.04033507900925
52000,-37157.840566188795,290.0467856548944
53000,-37331.344167185685,301.5832065373232
54000,-37055.80395387538,308.3523292220052
55000,-37288.70524035371,309.6600438105235
56000,-37298.5730836514,299.4948662142433
57000,-37228.363181182125,295.47028816730375
58000,-37421.7118849777,307.44816266705055
59000,-37461.78323790044,304.8727217317805
60000,-37427.11439626617,311.9639625968992
61000,-37350.144536225765,284.397327468084
62000,-37202.70526825276,291.47922547360935
63000,-37437.795291602466,290.68877244988107
64000,-37126.598927550454,298.65101428148824
65000,-37346.38065083252,303.83434964124933
66000,-37291.42586487901,285.15450419200147
67000,-37446.031943709444,303.4947748104289
68000,-37058.57137183676,296.61201369101076
69000,-37268.57826494644,299.83206381822396
70000,-37250.535176735604,281.23195016136066
71000,-37582.43756916313,303.82315173194604
72000,-37462.74739112612,299.85701690884696
73000,-37237.35072956522,297.68623310049594
74000,-37414.86511299841,291.6537908766379
75000,-37299.57835098007,295.0061510039431
76000,-37490.28399340692,305.5252977518718
77000,-37195.35006071688,290.3900178027288
78000,-37426.548276990914,310.6039639224117
79000,-37459.575141900976,293.6066214643976
80000,-37185.025460199715,297.958449237992
81000,-36978.85457145158,300.5812396038672
82000,-37322.621692357294,301.0801481435952
83000,-36970.04960318943,305.93451660945584
84000,-37238.67264884844,292.6983677256758
85000,-37013.016307648155,300.9947538846301
86000,-37116.1948342571,300.0055129787506
87000,-37038.1317614314,289.9947492474842
88000,-37206.202169951895,286.4385446635902
89000,-37105.12369876253,305.665243196951
90000,-37261.73217724325,294.6802342336434
91000,-37433.24267372841,287.20555957400325
92000,-37148.98747263895,296.08251529483334
93000,-37086.706325545965,295.9425129323178
94000,-37422.533730986586,304.068475028948
95000,-37007.179227471584,299.3559636363748
96000,-36985.8122088153,300.2333028750791
97000,-37037.68073225656,298.86723164877964
98000,-37125.95614295153,300.8769832076552
99000,-36965.22567855328,297.87290904796225
100000,-36853.04142411539,298.50760914776555
